Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.671875,0.6705882352941176,1.0,0.8028169014084507
SVM (RBF),0.66796875,0.6692913385826772,0.9941520467836257,0.8
Random Forest,0.63671875,0.6772727272727272,0.8713450292397661,0.7621483375959079
XGBoost,0.6328125,0.6915422885572139,0.8128654970760234,0.7473118279569892
LightGBM,0.65625,0.7064676616915423,0.8304093567251462,0.7634408602150538
