Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.5625,0.5714285714285714,0.9103448275862069,0.7021276595744681
SVM (RBF),0.55859375,0.5672268907563025,0.9310344827586207,0.7049608355091384
Random Forest,0.5703125,0.6,0.7241379310344828,0.65625
XGBoost,0.578125,0.6107784431137725,0.7034482758620689,0.6538461538461539
LightGBM,0.5859375,0.6181818181818182,0.7034482758620689,0.6580645161290323
