Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.65234375,0.6535087719298246,0.9371069182389937,0.7700258397932817
SVM (RBF),0.6328125,0.6406926406926406,0.9308176100628931,0.7589743589743589
Random Forest,0.66015625,0.6935483870967742,0.8113207547169812,0.7478260869565218
XGBoost,0.65625,0.7005649717514124,0.779874213836478,0.7380952380952381
LightGBM,0.6640625,0.7062146892655368,0.7861635220125787,0.7440476190476191
