Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.59375,0.6026200873362445,0.9139072847682119,0.7263157894736842
SVM (RBF),0.5703125,0.5879828326180258,0.9072847682119205,0.7135416666666666
Random Forest,0.62109375,0.651685393258427,0.7682119205298014,0.7051671732522796
XGBoost,0.62109375,0.6666666666666666,0.7152317880794702,0.6900958466453674
LightGBM,0.5859375,0.630057803468208,0.7218543046357616,0.6728395061728395
